1 = "O Pho Lan"
1 = "Toc Hàm"								#Stockholm				|			2110.05.19
2 = "Dong Uoc Lan"
44 = "Hàm Phu"								#Hamburg				|incomplete	2110.05.19
50 = "Bá Linh"								#Berlin					|			2110.05.19
97 = "Am Tuoc Dàm"							#Amsterdam				|incomplete	2110.05.19
101 = "Giai Noa"							#Genoa					|			2110.05.19
102 = "Niet Xa"								#Nice					|incomplete	2110.05.19
118 = "La Mã"								#Roma					|			2110.05.19
121 = "Nap Bo Lê"							#Napoli					|incomplete	2110.05.19
134 = "Viên"								#Wien					|			2110.05.19
182 = "Cong Bi Niet"
183 = "Ba Lê"								#Paris					|			2110.05.19
213 = "Ba Xà Luân"							#Barcelona				|			2110.05.19
220 = "Ba Linh Xa"							#València				|			2110.05.19
236 = "Luân Ðôn"							#London					|			2110.05.19
266 = "Thiep Khau"							#Praha					|incomplete	2110.05.19
257 = "Vác Sa Va"							#Warszawa				|			2110.05.19
361 = "Kê Thành"							#Cairo					|			2110.05.19
373 = "Ðap Lân"								#Pale					|incomplete	2110.05.19
379 = "Gia Liêm"							#Judea					|			2110.05.19
410 = "Bác Dat"								#Baghdad				|incomplete	2110.05.19
428 = "Te Lan"								#Teheran				|incomplete	2110.05.19
522 = "Ðe Ly"								#Delhi					|incomplete	2110.05.19
594 = "Tà Nê"								#Pattani				|			2110.05.19
600 = "Thuong Thanh"
601 = "To Kha Thái"							#Sukhothai				|incomplete	2124.03.22
604 = "Ô Ðông"								#Oudong					|			2125.04.21
605 = "Gia Ðinh"							#Prey Nokor				|incomplete	2110.02.19
606 = "Phan Rang"							#Panduranga				|			2115.05.19
607 = "Quy Nhon"							#Vijaya					|			2115.05.19
608 = "Ba Thac"								#Champassak				|incomplete	2110.05.19
609 = "Ngô Ca"								#Angkor					|			2110.05.19
610 = "Thanh Hóa"							#Thanh Hoa				|			2100.12.23
612 = "Co Lac"								#Khorat					|incomplete	2125.04.21
614 = "Van Tuong"							#Vientiane				|incomplete	2110.05.19
615 = "Luang Pha Bang"						#Luang Prabang			|Lão Qua?	2110.05.19	
616 = "Cao Bang"							#Cao Bang				|incomplete	2125.04.21
622 = "Tam Phat Te"							#Palembang				|incomplete	2110.05.19
661 = "Ðai Lý"								#Dali					|incomplete	2124.03.22
662 = "Côn Minh"							#Kunming				|			2100.02.21
663 = "Quang Nam"							#Guangnan				|incomplete	2114.05.20
664 = "Lang Vân"							#Lingyun				|incomplete	2114.05.20
665 = "Trieu Khánh"							#Zhaoqing				|incomplete	2113.05.20
656 = "Ma Ní"								#Manila					|			2110.05.19
666 = "Quynh Châu"							#Qiongzhou				|			2104.07.20
667 = "Quang Châu"							#Guangzhou				|incomplete	2110.05.19
668 = "Áo Môn"								#Macau					|			2110.05.19
669 = "Phúc Châu"							#Fuzhou					|			2114.05.20
670 = "Cám Châu"							#Ganzhou				|			2114.05.20
671 = "Truong Sa"							#Changsha				|incomplete	2114.05.20
672 = "Thuong Duc"							#Changde				|incomplete	2114.05.20
674 = "Quý Duong"							#Guiyang				|incomplete	2114.05.20
673 = "Tran Vien"							#Zhenyuan				|incomplete	2114.05.20
679 = "Thành Dô"							#Chengdu				|			2110.05.19
680 = "Trùng Khánh"							#Chongqing				|			2110.05.19
681 = "Nghi Xuong"							#Yichang				|			2110.05.20
682 = "Vu Xuong"							#Wuchang				|incomplete	2110.05.20
683 = "Nam Xuong"							#Nanchang				|			2114.05.20
684 = "Hàng Châu"							#Hangzhou				|			2114.05.20
685 = "Duong Châu"							#Yangzhou				|incomplete	2114.05.20
686 = "An Khánh"							#Anqing					|			2114.05.20
687 = "Nam Duong"							#Nanyang				|			2110.05.20
688 = "Khai Phong"							#Kaifeng				|			2099.06.20
689 = "Hán Trung"							#Hanzhong				|			2101.06.20
691 = "Te Nam"								#Jinan					|incomplete	2100.06.20
690 = "Thanh Châu"							#Qingzhou				|			2099.06.20
693 = "Thái Nguyên"							#Taiyuan				|			2101.06.20
694 = "Bình Duong"							#Pingyang				|			2101.06.20
695 = "Hà Gian"								#Hejian					|			2101.06.20
696 = "Bao Ðinh"							#Baoding				|			2101.06.20
697 = "Ðai Ðong"							#Datong					|incomplete	2101.06.20
698 = "Ninh Ha"								#Ningxia				|			2102.06.20
699 = "Lan Châu"							#Lanzhou				|			2102.06.20
700 = "Truong An"							#Xi'an					|			2101.06.20
703 = "Thùa Ðuc"							#Chengde				|incomplete	2102.06.20
704 = "Ninh Vien"							#Ningyuan				|			2102.06.20
1016 = "Hà Tinh"							#Ha Tinh				|incomplete	2115.05.19
1020 = "Kinh Dô"							#Kyoto					|			2110.05.19
1022 = "Ðà Nang"							#Indrapura				|incomplete	2115.05.19
1033 = "Kho Di Bac"							#North Sakhalin			|reconstructed/possible name/incomplete
1749 = "Ca Ðích"							#Cádiz					|			2110.05.19
1750 = "A Ly Can"							#Alicante				|			2110.05.19
1758 = "An Nô Vi"							#Hannover				|			2110.05.19
1821 = "Nam Kinh"							#Nanjing				|			2114.05.20
1822 = "Tô Châu"							#Suzhou					|			2114.05.20
1824 = "Ôn Châu"							#Wenzhou				|			2114.05.20
1829 = "Ha Môn"								#Xiamen					|			2114.05.20
1833 = "Cát An"								#Ji'an					|			2114.05.20
1836 = "Lac Duong"							#Luoyang				|incomplete	2099.06.20
1838 = "Hop Phì"							#Hefei					|incomplete	2114.05.20
1840 = "Que Lâm"							#Guilin					|incomplete	2114.05.20
1844 = "Tran Ninh"							#Xiankhouang			|incomplete	2110.05.19
1845 = "Bình Nhuong"						#Pyongan				|incomplete	2110.05.19
2030 = "Cô Á"								#Goa					|			2110.05.19
2106 = "Hai Sâm Uy"							#Furdan					|			2110.05.19
2136 = "Tuyên Hóa"							#Xuanhua				|			2102.06.20
2137 = "Ðai Danh"							#Daming					|			2101.06.20
2138 = "Vô Ðinh"							#Wuding					|			2100.06.20
2139 = "Lai Châu"							#Laizhou				|			2107.02.19
2140 = "Duyen Châu"							#Yanzhou				|			2100.06.20
2141 = "Tu Châu"							#Xuzhou					|			2114.05.20
2142 = "Hoài Âm"							#Huai'an				|			2114.05.20
2144 = "Phu Duong"							#Fuyang					|			2114.05.20
2145 = "Tran Giang"							#Zhenjiang				|incomplete	2114.05.20
2146 = "Ninh Quoc"							#Ningguo				|			2114.05.20
2147 = "Hoàng Son"							#Huangshan				|			2114.05.20
2149 = "Ninh Ba"							#Ningbo					|			2114.05.20
2150 = "Kim Hoa"							#Jinhua					|			2114.05.20
2151 = "Bà Duong"							#Poyang					|incomplete	2114.05.20
2152 = "Kien Ninh"							#Jianning				|incomplete	2114.05.20
2154 = "Ðài Bac"							#Kelam					|incomplete	2110.05.19
2156 = "Trieu Châu"							#Chaozhou				|incomplete	2113.05.20
2157 = "Hue Châu"							#Huizhou				|incomplete	2113.05.20
